,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club,Avg Temp
50,https://www.transfermarkt.com/guillermo-varela/profil/spieler/188862,Guillermo Varela,24/03/1993,Montevideo,Uruguay,"['Uruguay', 'Italy']",173,right,Oscar Bentancourt,Nike,Right-Back,"['Right Midfield', 'Left-Back']",['CA Peñarol (-2012)'],17.93580655
51,https://www.transfermarkt.com/lucas-silva/profil/spieler/218118,Lucas Silva,16/02/1993,Bom Jesus de Goiás,Brazil,['Brazil'],181,right,P&P Sport Management S.A.M.,,Defensive Midfield,['Central Midfield'],['AE Ovel (2005-2007)'],#N/A
52,https://www.transfermarkt.com/lucas-torro/profil/spieler/213670,Lucas Torró,19/07/1994,Cocentaina,Spain,['Spain'],190,right,Toldra Consulting S.L.,adidas,Defensive Midfield,['Central Midfield'],"['CD Contestano (2002–2003)', ' Ontinyent CF (2003-2005)', ' Hércules CF Alicante (2005-2007)', ' CD Alcoyano (2007-2008)']",14.64146131
53,https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,Toni Kroos,04/01/1990,Greifswald,DDR,['Germany'],183,right,Sports360 GmbH,adidas,Central Midfield,,,#N/A
54,https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839,Álvaro Medrán,15/03/1994,Dos Torres (Córdoba),Spain,['Spain'],177,right,Borja Couce,,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']","['Don Bosco C.F. (2004–2005)', ' Córdoba C.F. (2005–2008)']",14.64146131
55,https://www.transfermarkt.com/sergio-aguza/profil/spieler/246244,Sergio Aguza,02/09/1992,Sant Boi de Llobregat,Spain,['Spain'],176,right,JV SPORTS SL,,Central Midfield,['Attacking Midfield'],"['EF Gavà (1997-2002)', '\r\nUE Cornellà (2002-2008)', '\r\nReal Madrid (2008-2013)']",14.64146131
56,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,Marcos Llorente,30/01/1995,Madrid,Spain,['Spain'],184,right,,Nike,Central Midfield,"['Right Midfield', 'Right-Back']","['C. D. Las Rozas (2002-2006)', ' C. D. Nueva Roceña (2006-2007)']",14.64146131
57,https://www.transfermarkt.com/javi-munoz/profil/spieler/282421,Javi Muñoz,28/02/1995,Parla,Spain,['Spain'],179,right,,,Central Midfield,['Attacking Midfield'],['C. D. Parla Escuela'],14.64146131
58,https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103,James Rodríguez,12/07/1991,Cúcuta,Colombia,"['Colombia', 'Spain']",181,left,Gestifute,adidas,Attacking Midfield,"['Right Winger', 'Left Winger']","['Academia Tolimense de Fútbol (2001-2005)', ' Envigado FC (2005–2006)']",#N/A
59,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,Martin Ødegaard,17/12/1998,Drammen,Norway,['Norway'],178,left,Nordic Sky,Nike,Attacking Midfield,"['Right Winger', 'Central Midfield']","['Drammen Strong (2005-2009)', ' Strømsgodset IF (2009–2013)']",1.450175595
