,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
725,https://www.transfermarkt.com/willian/profil/spieler/52769,Willian,"Aug 9, 1988",['Ribeirão Pires'],['Brazil'],['Brazil'],"1,75",right,Sports Invest UK ltd,Puma,Left Winger,"['Right Winger', 'Attacking Midfield']",
726,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205,André Schürrle,"Nov 6, 1990",['Ludwigshafen am Rhein'],['Germany'],['Germany'],"1,84",right,Haspel Sportconsulting,adidas,Left Winger,"['Right Winger', 'Second Striker']","['Ludwigshafener SC (1996–2006)', ' 1. FSV Mainz 05 (2006–2009)']"
727,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226,Thorgan Hazard,"Mar 29, 1993",['La Louvière'],['Belgium'],['Belgium'],"1,75",right,Relatives,,Left Winger,"['Right Winger', 'Attacking Midfield']","['Stade Brainois (2001-2003)', ' AFC Tubize (2003-2007)', ' RC Lens (2007-2010)']"
728,https://www.transfermarkt.com/christian-atsu/profil/spieler/186997,Christian Atsu,"Jan 10, 1992",['Ada Foah'],['Ghana'],['Ghana'],"1,65",left,,Nike,Left Winger,"['Right Winger', 'Attacking Midfield']","['Feyenoord Fetteh (2008-2009)', ' FC Porto (2009-2011)']"
729,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,Mohamed Salah,"Jun 15, 1992","['Nagrig, Basyoun']",['Egypt'],['Egypt'],"1,75",left,,adidas,Right Winger,"['Second Striker', 'Centre-Forward']","['Osmathon (2005-2006)', ' El Mokawloon (2006-)']"
730,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Bertrand Traoré,"Sep 6, 1995",['Bobo-Dioulasso'],['Burkina Faso'],['Burkina Faso'],"1,81",left,CAA Stellar,,Right Winger,"['Centre-Forward', 'Left Winger']","['ASF Bobo-Dioulasso (-2009)', ' AJ Auxerre (2009-2013)']"
731,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257,Samuel Eto'o,"Mar 10, 1981",['Douala'],['Cameroon'],"['Cameroon', 'Spain']","1,80",both,Vigo Global Sport Services Srl,Puma,Centre-Forward,"['Second Striker', 'Right Winger']",['Kadji Sports Academy (1992-1996)']
732,https://www.transfermarkt.com/patrick-bamford/profil/spieler/183334,Patrick Bamford,"Sep 5, 1993",['Grantham'],['England'],"['England', 'Ireland']","1,85",left,CAA Stellar,,Centre-Forward,"['Left Winger', 'Right Winger']",['Nottingham Forest (2001-2011)']
733,https://www.transfermarkt.com/stipe-perica/profil/spieler/245072,Stipe Perica,"Jul 7, 1995",['Zadar'],['Croatia'],['Croatia'],"1,92",right,,,Centre-Forward,,['NK Zadar (2005 - 2012)']
734,https://www.transfermarkt.com/mitchell-beeney/profil/spieler/214113,Mitchell Beeney,"Oct 3, 1995",['Leeds'],['England'],['England'],"1,98",,Full Contact,,Goalkeeper,,"['Gillingham FC (2004-2007)', ' Chelsea FC (2007-2013)']"
735,https://www.transfermarkt.com/kenneth-omeruo/profil/spieler/131708,Kenneth Omeruo,"Oct 17, 1993","['Obuohia Okike, Abia State']",['Nigeria'],['Nigeria'],"1,85",right,ISC,,Centre-Back,['Right-Back'],
